Z =6.672787213074821
norm_productive =0.1499265655936305
min_energy_clip =-6.966450863757501
max_energy_clip =8.033549136242499
likelihood_train,likelihood_test
-1.0346391201019287,-1.270728349685669
-1.3572279214859009,-1.417592167854309
-1.4655462503433228,-1.4977145195007324
-1.5268878936767578,-1.5429397821426392
-1.561923623085022,-1.5698952674865723
-1.5817259550094604,-1.583473563194275
-1.5927443504333496,-1.5918519496917725
-1.5990159511566162,-1.5946838855743408
-1.6026273965835571,-1.5975383520126343
-1.6049994230270386,-1.5983223915100098
-1.6061110496520996,-1.5987588167190552
-1.6066539287567139,-1.6014906167984009
-1.6067720651626587,-1.6041512489318848
-1.6080158948898315,-1.6003873348236084
-1.6078197956085205,-1.6029075384140015
-1.6079230308532715,-1.6033339500427246
-1.607475996017456,-1.60049307346344
-1.6076186895370483,-1.6000797748565674
-1.607193946838379,-1.6027758121490479
-1.6071901321411133,-1.6024888753890991
-1.6073167324066162,-1.5992223024368286
-1.607043981552124,-1.60010826587677
-1.6073640584945679,-1.6026735305786133
-1.606973648071289,-1.6007471084594727
-1.6066044569015503,-1.598718523979187
-1.6066712141036987,-1.5980852842330933
-1.6061928272247314,-1.599511981010437
-1.6063365936279297,-1.6000956296920776
-1.6058900356292725,-1.5981823205947876
-1.605505108833313,-1.6007652282714844
